@relation AgentBattleHistory

@attribute a_x numeric
@attribute a_y numeric
@attribute a_health numeric
@attribute a_stamina numeric
@attribute o_x numeric
@attribute o_y numeric
@attribute o_health numeric
@attribute o_stamina numeric
@attribute a_action {cRest,cMoveUp,cMoveDown,cMoveLeft,cMoveRight,cLeapLeft,cLeapRight,cDefend,cAttackCardinal,cAttackDiagonal,cAttackLong}

@data
1,2,3,10,3,2,3,10,cAttackCardinal
1,2,3,8,1,2,2,7,cLeapRight
3,2,3,5,1,1,2,6,cAttackDiagonal
3,2,3,3,0,1,2,5,cAttackLong
3,2,3,1,1,1,2,4,cMoveUp
3,3,3,0,0,1,2,3,cRest
3,3,3,3,0,1,2,1,cMoveDown
3,2,3,2,0,1,2,0,cAttackDiagonal
3,2,3,0,0,1,2,3,cRest
3,2,3,3,0,0,2,2,cMoveUp
3,3,3,2,0,0,2,1,cAttackCardinal
3,3,3,0,1,0,2,0,cRest
3,3,3,3,1,0,2,3,cAttackDiagonal
3,3,3,1,1,0,2,1,cMoveUp
3,4,3,0,1,0,2,0,cRest
3,4,3,3,1,0,2,3,cMoveLeft
2,4,3,2,1,0,2,6,cAttackDiagonal
2,4,3,0,1,0,2,4,cRest
2,4,3,3,1,0,2,3,cMoveUp
2,4,3,2,1,1,2,2,cDefend
2,4,3,0,1,1,2,0,cRest
2,4,3,3,1,1,2,3,cAttackDiagonal
2,4,3,1,0,1,2,2,cMoveUp
2,4,3,0,0,1,2,0,cRest
2,4,3,3,0,1,2,3,cLeapRight
4,4,3,0,0,1,2,1,cRest
4,4,3,3,0,2,2,0,cLeapLeft
2,4,3,0,0,2,2,3,cRest
2,4,3,3,0,2,2,6,cAttackCardinal
2,4,3,1,0,2,2,4,cMoveLeft
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cAttackDiagonal
1,2,3,6,3,4,3,8,cAttackDiagonal
1,2,3,4,4,4,3,7,cMoveLeft
0,2,3,3,4,4,3,10,cDefend
0,2,3,1,4,4,3,13,cMoveRight
1,2,3,0,4,4,3,15,cRest
1,2,3,3,4,4,3,15,cMoveLeft
0,2,3,2,4,4,3,15,cAttackDiagonal
0,2,3,0,4,4,3,15,cRest
0,2,3,3,4,4,3,15,cAttackLong
0,2,3,1,4,4,3,15,cMoveDown
0,1,3,0,4,4,3,15,cRest
0,1,3,3,4,4,3,15,cLeapLeft
0,1,3,0,4,4,3,15,cRest
0,1,3,3,4,4,3,15,cMoveRight
1,1,3,2,4,4,3,15,cAttackLong
1,1,3,0,4,4,3,15,cRest
1,1,3,3,4,4,3,15,cAttackLong
1,1,3,1,4,4,3,15,cMoveLeft
0,1,3,0,4,4,3,15,cRest
0,1,3,3,4,4,3,15,cDefend
0,1,3,1,4,4,3,15,cRest
0,1,3,4,4,4,3,15,cLeapRight
2,1,3,1,4,4,3,15,cRest
2,1,3,4,4,4,3,15,cMoveUp
2,2,3,3,4,4,3,15,cDefend
2,2,3,1,4,4,3,15,cMoveUp
2,3,3,0,4,4,3,15,cRest
2,3,3,3,4,4,3,15,cAttackDiagonal
1,2,3,10,3,2,3,10,cAttackLong
1,2,3,8,3,3,3,9,cAttackLong
1,2,3,6,3,4,3,8,cAttackDiagonal
1,2,3,4,4,4,3,7,cMoveLeft
0,2,3,3,4,4,3,10,cMoveRight
1,2,3,2,4,4,3,13,cAttackDiagonal
1,2,3,0,4,4,3,15,cRest
1,2,3,3,4,4,3,15,cMoveUp
1,3,3,2,4,4,3,15,cAttackDiagonal
1,3,3,0,4,4,3,15,cRest
1,3,3,3,4,4,3,15,cRest
1,3,3,6,4,4,3,15,cAttackDiagonal
1,3,3,4,4,4,3,15,cMoveUp
1,4,3,3,4,4,3,15,cAttackCardinal
1,4,3,1,4,3,3,14,cMoveUp
1,4,3,0,4,2,3,13,cRest
1,4,3,3,4,1,3,12,cRest
1,4,3,6,4,0,3,11,cAttackDiagonal
1,4,3,4,4,0,3,14,cAttackLong
1,4,3,2,4,0,3,15,cDefend
1,4,3,0,4,0,3,15,cRest
1,4,3,3,4,0,3,15,cMoveUp
1,4,3,2,4,0,3,15,cDefend
1,4,3,0,4,0,3,15,cRest
1,4,3,3,4,0,3,15,cAttackDiagonal
1,4,3,1,4,0,3,15,cMoveLeft
0,4,3,0,4,0,3,15,cRest
0,4,3,3,4,0,3,15,cAttackLong
0,4,3,1,4,0,3,15,cMoveRight
1,4,3,0,4,0,3,15,cRest
3,2,3,10,1,2,3,10,cLeapLeft
1,2,3,7,3,2,3,7,cLeapRight
3,2,2,4,3,2,3,5,cMoveRight
4,2,2,3,3,2,3,3,cAttackLong
4,2,2,1,4,2,2,0,cRest
4,2,2,4,4,2,2,3,cAttackDiagonal
4,2,1,2,4,2,1,1,cMoveLeft
3,2,1,1,4,1,1,0,cMoveUp
3,3,1,0,4,1,1,3,cRest
3,3,1,3,4,1,1,1,cMoveLeft
2,3,1,2,3,1,1,0,cAttackCardinal
2,3,1,0,3,1,1,3,cRest
2,3,1,3,1,1,1,0,cAttackLong
2,3,1,1,1,1,1,3,cMoveLeft
1,3,1,0,1,1,1,1,cRest
1,3,1,3,1,2,1,0,cMoveDown
1,2,1,2,1,2,1,3,cMoveUp
1,3,1,1,1,3,1,2,cMoveLeft
3,2,3,10,1,2,3,10,cMoveUp
3,3,3,9,1,2,3,8,cLeapRight
4,3,3,6,2,2,3,7,cAttackLong
4,3,3,4,2,2,3,5,cLeapRight
4,3,3,1,2,2,3,3,cMoveRight
4,3,3,0,2,3,3,2,cRest
4,3,3,3,1,3,3,1,cLeapLeft
2,3,3,0,1,4,3,0,cRest
2,3,3,3,1,4,3,3,cAttackLong
2,3,3,1,1,4,3,1,cMoveUp
2,4,3,0,1,4,3,4,cRest
2,4,3,3,2,4,3,3,cAttackLong
2,4,3,1,2,4,2,6,cMoveUp
2,4,3,0,0,4,2,3,cRest
2,4,3,3,0,3,2,2,cLeapRight
4,4,3,0,0,3,2,5,cRest
4,4,3,3,0,3,2,3,cRest
4,4,3,6,0,3,2,0,cMoveDown
4,3,3,5,0,3,2,3,cMoveRight
4,3,3,4,0,3,2,1,cAttackLong
4,3,3,2,0,3,2,0,cMoveLeft
3,3,3,1,0,3,2,3,cMoveLeft
2,3,2,0,0,3,2,1,cRest
2,3,2,3,0,2,2,0,cMoveRight
3,3,2,2,0,2,2,3,cMoveRight
4,3,2,1,0,2,2,1,cMoveDown
4,2,2,0,0,2,2,0,cRest
4,2,2,3,0,2,2,3,cAttackCardinal
4,2,2,1,0,2,2,6,cMoveDown
4,1,2,0,1,2,2,5,cRest
3,2,3,10,1,2,3,10,cMoveLeft
2,2,3,9,0,2,3,7,cRest
2,2,3,12,0,2,3,5,cLeapRight
4,2,3,9,0,2,3,2,cLeapLeft
2,2,3,6,0,3,3,1,cAttackLong
2,2,3,4,1,3,3,0,cAttackLong
2,2,3,2,1,3,3,3,cRest
2,2,3,5,1,3,3,1,cMoveUp
2,3,3,4,0,3,3,0,cMoveUp
2,4,3,3,0,3,3,3,cAttackDiagonal
